penalty,combo_size,feature_combo,n_features_filtered,cv_folds,low_max_fold,inner_scoring,c_by_fold,c_mean,c_median,inner_best_score_mean,inner_best_score_std,tn,fp,fn,tp,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,roc_auc,average_precision
l1,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 10.0]",4.6,1.0,0.8,0.07190099503080434,8,1,1,9,0.8947368421052632,0.8944444444444444,0.8944444444444444,0.8944444444444444,0.8944444444444444,0.8777777777777778,0.8979365079365079
l1,5,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.8166666666666667,0.05760122598146588,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.9222222222222223,0.9387412587412587
l1,5,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 10.0]",4.6,1.0,0.711111111111111,0.13551456575167184,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.9111111111111112,0.9319230769230769
l1,5,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_pose_rmsd_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 10.0]",4.6,1.0,0.75,0.027777777777777735,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.8888888888888888,0.9216666666666666
l1,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 1.0, 1.0]",4.6,1.0,0.7444444444444444,0.03621779114001472,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.8555555555555555,0.9036796536796535
l2,2,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean,13,5,10.0,balanced_accuracy,"[0.01, 1.0, 0.01, 10.0, 1.0]",2.404,1.0,0.861111111111111,0.058925565098878946,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.8333333333333334,0.8947209653092005
l2,2,residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.01, 0.01, 0.01, 1.0, 0.01]",0.20800000000000002,0.01,0.7555555555555554,0.1380530404421019,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8666666666666667,0.8980006105006104
l2,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.01, 10.0, 0.01, 0.01, 0.01]",2.008,0.01,0.7944444444444445,0.04648111258522644,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8555555555555555,0.9119981325863679
l2,2,residue_min_distance_LYS101_angstrom_repstd|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.01, 0.01, 0.01, 0.01, 0.01]",0.01,0.01,0.7777777777777777,0.08561686115234694,7,2,2,8,0.7894736842105263,0.788888888888889,0.788888888888889,0.788888888888889,0.788888888888889,0.8444444444444444,0.8421031746031745
l2,2,residue_min_distance_VAL179_angstrom_repstd|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[0.01, 1.0, 1.0, 10.0, 0.01]",2.404,1.0,0.7388888888888888,0.08240220541217404,7,2,2,8,0.7894736842105263,0.788888888888889,0.788888888888889,0.788888888888889,0.788888888888889,0.8111111111111111,0.7891514041514042
